Ref.No,OfferType,ExchangeType,Deadline,Comment,Employer,Department,Street1,Street2,PostBox,PostalCode,City,State,Country,Website,Workplace,Business,Responsible,Airport,Transport,Employees,HoursWeekly,HoursDaily,Canteen,GeneralDisciplines,FieldsOfStudy,TrainingRequired,OtherRequirements,Workkind,WeeksMin,WeeksMax,From,To,WorkType_R,WorkType_O,WorkType_F,WorkType_None,Language1,Language1Level,Language1Or,Language2,Language2Level,Language2Or,Language3,Language3Level,Currency,Payment,PaymentFrequency,Deduction,Lodging,LodgingCost,LodgingCostFrequency,LivingCost,LivingCostFrequency,NoHardCopies,Faculty 1,Period2_From,Period2_To,Holidays_From,Holidays_To,Additional_Info,PublishedTo,DatePublished,Last modified,CompletedYearsOfStudy,RequiredKnowledgeAndExperiences,PaymentFrequency,ExpectedTypeOfAccommonation,GeneralDisciplinesText,FieldsOfStudyText
DE-2022-1007-7,OPEN,FCFS,2022-03-15,,TU Dresden,"Elektrotechnischs Institut, Chair Electrical machines and Drives",Helmholtzstr. 9,,,01069,Dresden,,Germany,https://tu-dresden.de/ing/elektrotechnik/eti/ema,Dresden,education,Wilfried Hofmann,Dresden,,N/A,40,8,Yes,14C,14.1001,,Good English and basic German knowledge is a must. Good German knowledge is desired.,"Design of electrical machines. Control of ac-drives. Power electronics: inverter technologies. Renewable energy: wind power plant. Magnetic bearing  and Motion Control. Circuit Design. CAD construction. Software Design.
",8,12,2022-01-01,2022-12-31,Yes,No,No,,English,"Good (B1, B2)",And,German,Fair (A2),,,,EUR,861,Monthly,variable,IAESTE LC Dresden,400,Monthly,861,Monthly,,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,No,,2022-12-16,2023-01-05,see additional documents,,2022-02-03 14:24:23,2022-02-03 14:24:24,4,Student must have practical experiences.,end of month,info will be handed in later,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,14.1001-Electrical and Electronics Engineering
DE-2022-1007-8,OPEN,FCFS,2022-03-15,,TU Dresden,"Elektrotechnischs Institut, Chair Electrical machines and Drives",Helmholtzstr. 9,,,01069,Dresden,,Germany,https://tu-dresden.de/ing/elektrotechnik/eti/ema,Dresden,education,Wilfried Hofmann,Dresden,,N/A,40,8,Yes,14C,14.1001,,Good English and basic German knowledge is a must. Good German knowledge is desired.,"Design of electrical machines. Control of ac-drives. Power electronics: inverter technologies. Renewable energy: wind power plant. Magnetic bearing  and Motion Control. Circuit Design. CAD construction. Software Design.
",8,12,2022-01-01,2022-12-31,Yes,No,No,,English,"Good (B1, B2)",And,German,Fair (A2),,,,EUR,861,Monthly,variable,IAESTE LC Dresden,400,Monthly,861,Monthly,,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,No,,2022-12-16,2023-01-05,see additional documents,,2022-02-03 14:04:43,2022-02-03 14:04:44,4,Student must have practical experiences.,end of month,info will be handed in later,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,14.1001-Electrical and Electronics Engineering
DE-2022-1007-9,OPEN,FCFS,2022-03-15,,TU Dresden,"Elektrotechnischs Institut, Chair Electrical machines and Drives",Helmholtzstr. 9,,,01069,Dresden,,Germany,https://tu-dresden.de/ing/elektrotechnik/eti/ema,Dresden,education,Wilfried Hofmann,Dresden,,N/A,40,8,Yes,14C,14.1001,,Good English and basic German knowledge is a must. Good German knowledge is desired.,"Design of electrical machines. Control of ac-drives. Power electronics: inverter technologies. Renewable energy: wind power plant. Magnetic bearing  and Motion Control. Circuit Design. CAD construction. Software Design.
",8,12,2022-01-01,2022-12-31,Yes,No,No,,English,"Good (B1, B2)",And,German,Fair (A2),,,,EUR,861,Monthly,variable,IAESTE LC Dresden,400,Monthly,861,Monthly,,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,No,,2022-12-16,2023-01-05,see additional documents,,2022-02-03 14:30:07,2022-02-03 14:30:07,4,Student must have practical experiences.,end of month,info will be handed in later,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,14.1001-Electrical and Electronics Engineering
DE-2022-1009-1,OPEN,FCFS,2022-02-15,,HTW Dresden,Fachbereich Landbau/Landespflege,Pillnitzer Platz 2,,,1326,Dresden,,Germany,,Dresden,university institute,Fritz-Gerald Schröder,Dresden,Dresden,99,40,8,Yes,01,,,,Horticulture: Work at the research greenhouse; investigation with plants; work at the open field facilities; Harvest of crops; main plants are vegetables and ornamentals.,8,8,2022-07-01,2022-08-31,Yes,No,No,,German,"Good (B1, B2)",,,,,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,01-AGRICULTURE AND FOOD SCIENCE,No,,No,,see additional documents,,2022-01-28 10:43:22,2022-01-28 10:43:23,2,/,end of month,info will be handed in later,01-AGRICULTURE AND FOOD SCIENCE,
DE-2022-1009-2,OPEN,FCFS,2022-02-15,,HTW Dresden,Fachbereich Landbau/Landespflege,Pillnitzer Platz 2,,,1326,Dresden,,Germany,,Dresden,university institute,Fritz-Gerald Schröder,Dresden,Dresden,99,40,8,Yes,01,,,,Horticulture: Work at the research greenhouse; investigation with plants; work at the open field facilities; Harvest of crops; main plants are vegetables and ornamentals.,8,8,2022-07-01,2022-08-31,Yes,No,No,,German,"Good (B1, B2)",,,,,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,01-AGRICULTURE AND FOOD SCIENCE,No,,No,,see additional documents,,2022-01-28 10:44:02,2022-01-28 10:44:03,2,/,end of month,info will be handed in later,01-AGRICULTURE AND FOOD SCIENCE,
DE-2022-1016-1,OPEN,FCFS,2022-02-28,,Technische Universität Chemnitz,"Fakulty of mechanical Engineering, Professorship Machine Elements and Product Development",Reichenhainer Straße 70,,,09126,Chemnitz,,Germany,https://www.tu-chemnitz.de/mb/mp,Chemnitz,Research,Jan Reißmann,"Dresden, Leipzig","public transport: 50 m, train: 1000 m",20,40,8,Yes,14D|11,11.0102;11.0201;14.1101;14.1901;14.4201|11.0102;11.0201,,,"strength of mecanical systems, Friction and Tribology, complaint mechanism, method of mecanical design",12,12,2022-05-01,2022-07-31,Yes,No,No,,English,"Good (B1, B2)",Or,German,"Good (B1, B2)",,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,"11-COMPUTER AND INFORMATION SCIENCES, 14D-MECHANICAL ENGINEERING",No,,No,,see additional documents,,2022-02-03 14:18:40,2022-02-04 09:10:31,3,/,end of month,Info will be handed in later,"11-COMPUTER AND INFORMATION SCIENCES, 14D-MECHANICAL ENGINEERING","11.0102-Artificial Intelligence., 11.0201-Computer Programming/Programmer, General., 14.1101-Engineering Mechanics., 14.1901-Mechanical Engineering., 14.4201-Mechatronics, Robotics, and Automation Engineering."
DE-2022-1042-10,OPEN,FCFS,2022-03-15,,University Medicine Greifswald,"ENT Research Laboratory; Department of Otorhinolaryngology, Head and Neck Surgery",Sauerbruchstr. DZ7 J.05.06,,,17475,Greifswald,,Germany,https://www.medizin.uni-greifswald.de/en/research-and-teaching/,University Mediciny Greifswald,Healthcare and medical research,Christian Scharf,Berlin or Hamburg,,4500,40,8,Yes,,26.0102;26.0202;26.0205;26.0210;26.0502,,,"We offer various internships in a laboratory network for molecular medicine at the University Medicine Greifswald. Laboratories of different departments e.g. biochemistry, otorhinolaryngology, urology, orthopedics, ophthalmology, pathology and gynecology are members of the network.
Your internship is organized by different research groups and includes several approaches:
Practical training in laboratories for molecular biology, biochemistry and histology. Cell culture experiments with human epithelial, endothelial and tumor cell lines and stem cells, examination of cell survival effects after different treatments using wound healing models and proteomic and genomic approaches as well as RNA and protein isolation-, qPCR-, FACS-, 2D-DIGE-, gel imaging- or mass spectrometry-approaches.",8,12,2022-03-01,2023-02-28,Yes,No,No,,English,"Good (B1, B2)",,,,,,,EUR,861,Monthly,variable,Employer BUT students dormitory places very limited,400,Monthly,861,Monthly,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,,,,,see additional documents,,2022-02-03 14:49:18,2022-02-03 14:49:19,2,Practical courses during their own studies to learn basic procedures in a biochemical molecular-biology laboratory are helpful for this internship.,mid of month,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,"26.0102-Biomedical Sciences, General., 26.0202-Biochemistry., 26.0205-Molecular Biochemistry., 26.0210-Biochemistry and Molecular Biology., 26.0502-Microbiology, General."
DE-2022-1042-3,OPEN,FCFS,2022-03-15,,University Medicine Greifswald,"ENT Research Laboratory; Department of Otorhinolaryngology, Head and Neck Surgery",Sauerbruchstr. DZ7 J.05.06,,,17475,Greifswald,,Germany,https://www.medizin.uni-greifswald.de/en/research-and-teaching/,University Mediciny Greifswald,Healthcare and medical research,Christian Scharf,Berlin or Hamburg,,4500,40,8,Yes,,26.0102;26.0202;26.0205;26.0210;26.0502,,,"We offer various internships in a laboratory network for molecular medicine at the University Medicine Greifswald. Laboratories of different departments e.g. biochemistry, otorhinolaryngology, urology, orthopedics, ophthalmology, pathology and gynecology are members of the network.
Your internship is organized by different research groups and includes several approaches:
Practical training in laboratories for molecular biology, biochemistry and histology. Cell culture experiments with human epithelial, endothelial and tumor cell lines and stem cells, examination of cell survival effects after different treatments using wound healing models and proteomic and genomic approaches as well as RNA and protein isolation-, qPCR-, FACS-, 2D-DIGE-, gel imaging- or mass spectrometry-approaches.",8,12,2022-03-01,2023-02-28,Yes,No,No,,English,"Good (B1, B2)",,,,,,,EUR,861,Monthly,variable,Employer BUT students dormitory places very limited,400,Monthly,861,Monthly,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,,,,,see additional documents,,2022-02-03 14:52:42,2022-02-03 14:52:43,2,Practical courses during their own studies to learn basic procedures in a biochemical molecular-biology laboratory are helpful for this internship.,mid of month,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,"26.0102-Biomedical Sciences, General., 26.0202-Biochemistry., 26.0205-Molecular Biochemistry., 26.0210-Biochemistry and Molecular Biology., 26.0502-Microbiology, General."
DE-2022-1042-5,OPEN,FCFS,2022-03-15,,University Medicine Greifswald,"ENT Research Laboratory; Department of Otorhinolaryngology, Head and Neck Surgery",Sauerbruchstr. DZ7 J.05.06,,,17475,Greifswald,,Germany,https://www.medizin.uni-greifswald.de/en/research-and-teaching/,University Mediciny Greifswald,Healthcare and medical research,Christian Scharf,Berlin or Hamburg,,4500,40,8,Yes,,26.0102;26.0202;26.0205;26.0210;26.0502,,,"We offer various internships in a laboratory network for molecular medicine at the University Medicine Greifswald. Laboratories of different departments e.g. biochemistry, otorhinolaryngology, urology, orthopedics, ophthalmology, pathology and gynecology are members of the network.
Your internship is organized by different research groups and includes several approaches:
Practical training in laboratories for molecular biology, biochemistry and histology. Cell culture experiments with human epithelial, endothelial and tumor cell lines and stem cells, examination of cell survival effects after different treatments using wound healing models and proteomic and genomic approaches as well as RNA and protein isolation-, qPCR-, FACS-, 2D-DIGE-, gel imaging- or mass spectrometry-approaches.",8,12,2022-03-01,2023-02-28,Yes,No,No,,English,"Good (B1, B2)",,,,,,,EUR,861,Monthly,variable,Employer BUT students dormitory places very limited,400,Monthly,861,Monthly,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,,,,,see additional documents,,2022-02-03 14:52:14,2022-02-03 14:52:15,2,Practical courses during their own studies to learn basic procedures in a biochemical molecular-biology laboratory are helpful for this internship.,mid of month,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,"26.0102-Biomedical Sciences, General., 26.0202-Biochemistry., 26.0205-Molecular Biochemistry., 26.0210-Biochemistry and Molecular Biology., 26.0502-Microbiology, General."
DE-2022-1042-6,OPEN,FCFS,2022-03-15,,University Medicine Greifswald,"ENT Research Laboratory; Department of Otorhinolaryngology, Head and Neck Surgery",Sauerbruchstr. DZ7 J.05.06,,,17475,Greifswald,,Germany,https://www.medizin.uni-greifswald.de/en/research-and-teaching/,University Mediciny Greifswald,Healthcare and medical research,Christian Scharf,Berlin or Hamburg,,4500,40,8,Yes,,26.0102;26.0202;26.0205;26.0210;26.0502,,,"We offer various internships in a laboratory network for molecular medicine at the University Medicine Greifswald. Laboratories of different departments e.g. biochemistry, otorhinolaryngology, urology, orthopedics, ophthalmology, pathology and gynecology are members of the network.
Your internship is organized by different research groups and includes several approaches:
Practical training in laboratories for molecular biology, biochemistry and histology. Cell culture experiments with human epithelial, endothelial and tumor cell lines and stem cells, examination of cell survival effects after different treatments using wound healing models and proteomic and genomic approaches as well as RNA and protein isolation-, qPCR-, FACS-, 2D-DIGE-, gel imaging- or mass spectrometry-approaches.",8,12,2022-03-01,2023-02-28,Yes,No,No,,English,"Good (B1, B2)",,,,,,,EUR,861,Monthly,variable,Employer BUT students dormitory places very limited,400,Monthly,861,Monthly,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,,,,,see additional documents,,2022-02-03 14:51:45,2022-02-03 14:51:46,2,Practical courses during their own studies to learn basic procedures in a biochemical molecular-biology laboratory are helpful for this internship.,mid of month,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,"26.0102-Biomedical Sciences, General., 26.0202-Biochemistry., 26.0205-Molecular Biochemistry., 26.0210-Biochemistry and Molecular Biology., 26.0502-Microbiology, General."
DE-2022-1042-7,OPEN,FCFS,2022-03-15,,University Medicine Greifswald,"ENT Research Laboratory; Department of Otorhinolaryngology, Head and Neck Surgery",Sauerbruchstr. DZ7 J.05.06,,,17475,Greifswald,,Germany,https://www.medizin.uni-greifswald.de/en/research-and-teaching/,University Mediciny Greifswald,Healthcare and medical research,Christian Scharf,Berlin or Hamburg,,4500,40,8,Yes,,26.0102;26.0202;26.0205;26.0210;26.0502,,,"We offer various internships in a laboratory network for molecular medicine at the University Medicine Greifswald. Laboratories of different departments e.g. biochemistry, otorhinolaryngology, urology, orthopedics, ophthalmology, pathology and gynecology are members of the network.
Your internship is organized by different research groups and includes several approaches:
Practical training in laboratories for molecular biology, biochemistry and histology. Cell culture experiments with human epithelial, endothelial and tumor cell lines and stem cells, examination of cell survival effects after different treatments using wound healing models and proteomic and genomic approaches as well as RNA and protein isolation-, qPCR-, FACS-, 2D-DIGE-, gel imaging- or mass spectrometry-approaches.",8,12,2022-03-01,2023-02-28,Yes,No,No,,English,"Good (B1, B2)",,,,,,,EUR,861,Monthly,variable,Employer BUT students dormitory places very limited,400,Monthly,861,Monthly,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,,,,,see additional documents,,2022-02-03 14:50:59,2022-02-03 14:51:01,2,Practical courses during their own studies to learn basic procedures in a biochemical molecular-biology laboratory are helpful for this internship.,mid of month,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,"26.0102-Biomedical Sciences, General., 26.0202-Biochemistry., 26.0205-Molecular Biochemistry., 26.0210-Biochemistry and Molecular Biology., 26.0502-Microbiology, General."
DE-2022-1042-8,OPEN,FCFS,2022-03-15,,University Medicine Greifswald,"ENT Research Laboratory; Department of Otorhinolaryngology, Head and Neck Surgery",Sauerbruchstr. DZ7 J.05.06,,,17475,Greifswald,,Germany,https://www.medizin.uni-greifswald.de/en/research-and-teaching/,University Mediciny Greifswald,Healthcare and medical research,Christian Scharf,Berlin or Hamburg,,4500,40,8,Yes,,26.0102;26.0202;26.0205;26.0210;26.0502,,,"We offer various internships in a laboratory network for molecular medicine at the University Medicine Greifswald. Laboratories of different departments e.g. biochemistry, otorhinolaryngology, urology, orthopedics, ophthalmology, pathology and gynecology are members of the network.
Your internship is organized by different research groups and includes several approaches:
Practical training in laboratories for molecular biology, biochemistry and histology. Cell culture experiments with human epithelial, endothelial and tumor cell lines and stem cells, examination of cell survival effects after different treatments using wound healing models and proteomic and genomic approaches as well as RNA and protein isolation-, qPCR-, FACS-, 2D-DIGE-, gel imaging- or mass spectrometry-approaches.",8,12,2022-03-01,2023-02-28,Yes,No,No,,English,"Good (B1, B2)",,,,,,,EUR,861,Monthly,variable,Employer BUT students dormitory places very limited,400,Monthly,861,Monthly,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,,,,,see additional documents,,2022-02-03 14:50:13,2022-02-03 14:50:15,2,Practical courses during their own studies to learn basic procedures in a biochemical molecular-biology laboratory are helpful for this internship.,mid of month,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,"26.0102-Biomedical Sciences, General., 26.0202-Biochemistry., 26.0205-Molecular Biochemistry., 26.0210-Biochemistry and Molecular Biology., 26.0502-Microbiology, General."
DE-2022-1042-9,OPEN,FCFS,2022-03-15,,University Medicine Greifswald,"ENT Research Laboratory; Department of Otorhinolaryngology, Head and Neck Surgery",Sauerbruchstr. DZ7 J.05.06,,,17475,Greifswald,,Germany,https://www.medizin.uni-greifswald.de/en/research-and-teaching/,University Mediciny Greifswald,Healthcare and medical research,Christian Scharf,Berlin or Hamburg,,4500,40,8,Yes,,26.0102;26.0202;26.0205;26.0210;26.0502,,,"We offer various internships in a laboratory network for molecular medicine at the University Medicine Greifswald. Laboratories of different departments e.g. biochemistry, otorhinolaryngology, urology, orthopedics, ophthalmology, pathology and gynecology are members of the network.
Your internship is organized by different research groups and includes several approaches:
Practical training in laboratories for molecular biology, biochemistry and histology. Cell culture experiments with human epithelial, endothelial and tumor cell lines and stem cells, examination of cell survival effects after different treatments using wound healing models and proteomic and genomic approaches as well as RNA and protein isolation-, qPCR-, FACS-, 2D-DIGE-, gel imaging- or mass spectrometry-approaches.",8,12,2022-03-01,2023-02-28,Yes,No,No,,English,"Good (B1, B2)",,,,,,,EUR,861,Monthly,variable,Employer BUT students dormitory places very limited,400,Monthly,861,Monthly,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,,,,,see additional documents,,2022-02-03 14:48:44,2022-02-03 14:48:45,2,Practical courses during their own studies to learn basic procedures in a biochemical molecular-biology laboratory are helpful for this internship.,mid of month,,26-BIOLOGICAL AND BIOMEDICAL SCIENCES,"26.0102-Biomedical Sciences, General., 26.0202-Biochemistry., 26.0205-Molecular Biochemistry., 26.0210-Biochemistry and Molecular Biology., 26.0502-Microbiology, General."
DE-2022-1055-9,OPEN,FCFS,2022-03-15,,Weihenstephan-Triesdorf University of Applied Sciences (HSWT),,Am Hofgarten 1,,,,Freising,,Germany,,"Freising, Bavaria, Germany",University,Simone Mann,Munich MUC,Freising train station,16,40,8,Yes,01|03|40A,01.0000;01.1201;03.0104;03.0502;40.0601|03.0104;03.0502|40.0601,,,"Integration in a research group working on research project on Carbon storage of wetland ecosystems. Tasks include sampling of CO2-exchange via the closed-chamber technique on different vegetation types along a degradation-restoration gradient, biomass and soil sampling, determination of vegetation development parameters, data-processing, literature review in relevant fields, and teamwork. The work requires good physical condition and encompasses intensive field work.
Research group website: www.hswt.de/en/research/research-facilities/ioel.html ",12,12,2022-04-01,2022-12-31,Yes,Yes,Yes,,English,"Good (B1, B2)",,,,,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,"01-AGRICULTURE AND FOOD SCIENCE, 03-NATURAL RESOURCES AND CONSERVATION, 40A-PHYSICAL SCIENCES, Other",No,,2022-12-21,2023-01-05,see additional documents,,2022-02-03 14:19:51,2022-02-03 14:19:52,3,closed-chamber technique,end of month,Info will be handed in later,"01-AGRICULTURE AND FOOD SCIENCE, 03-NATURAL RESOURCES AND CONSERVATION, 40A-PHYSICAL SCIENCES, Other","01.0000, 01.1201-Soil Science and Agronomy, General., 03.0104-Environmental Science., 03.0502-Forest Sciences and Biology., 40.0601-Geology/Earth Science, General."
DE-2022-1059-1,OPEN,FCFS,2022-02-15,,University of Constance,Physics Department,Universitaetsstrasse 10,,,78457,Konstanz,,Germany,,Konstanz,Soft Matter,Matthias Fuchs,Zuerich,"train, bus",1,40,8,Yes,,40.0810,,Bachelor,"The trainee will work in an office at the PC. He learn the introduction to ""Statistical Physics"" and computer simulations. He will work  together with our research group.",8,12,2022-05-01,2022-07-31,Yes,No,No,,English,"Good (B1, B2)",Or,German,"Good (B1, B2)",,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,40B-PHYSICS,,,,,see additional documents,,2022-02-03 14:26:09,2022-02-03 14:26:10,3,Physic,end of first month,,40B-PHYSICS,40.0810-Theoretical and Mathematical Physics.
DE-2022-1065-2,OPEN,AC,2022-03-15,,Leuphana University Lüneburg,Faculty of Sustainability / Institute of Ecology,Universitätsallee 1,,,21335,Lüneburg,,Germany,www.leuphana.de,"University Campus, Lüneburg",University,Tanja Michaela Müller,Hamburg,Bus,5,40,8,Yes,,,,suitable working clothes especially for field work,"We are looking for interns with a strong interest in plant ecology to help us set up and run experiments to test hypotheses at the forefront of ecological research. Successful candidates will have the opportunity to participate in a field experiment (POEM experiment, https://www.benjamindelory.com/poem.html) investigating the effects of plant arrival order on ecosystem processes (both above and below ground). During their internship, successful candidates will be involved in running the experiments, taking root images in the field, as well as collecting and processing samples. Tasks will include sorting, preparing (e.g. washing root samples) and measuring a number of parameters on soil and plant samples (e.g. biomass production).",8,8,2022-08-01,2022-09-30,Yes,No,Yes,,English,"Good (B1, B2)",Or,German,"Good (B1, B2)",,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,OTHER,,,,,see additional documents,,2022-01-24 09:02:01,2022-01-24 09:02:01,2,"Possible required skills: Curious, highly motivated, good communication skills (in English), able to work well within a collaborative research environment.

Possible required qualifications: a background in biology, plant ecology or environmental sciences is an advantage.",end of first month,,OTHER,
DE-2022-1065-5,OPEN,FCFS,2022-03-15,,Leuphana University Lüneburg,Faculty of Sustainability / Institute of Ecology,Universitätsallee 1,,,21335,Lüneburg,,Germany,www.leuphana.de,"University Campus, Lüneburg",University,Tanja Michaela Müller,Hamburg,Bus,5,40,8,Yes,,,,suitable working clothes especially for field work,"We would like to host student interns interested in crop ecophysiology and soil biogeochemistry to take part in an ongoing research project with an overall goal to increase agricultural nutrient use efficiency by optimizing plant-soil-microorganisms interactions. Tasks during the internship would involve harvesting plant material, measuring various plant traits, and processing the collected samples for particular measurements.",8,8,2022-05-01,2022-06-30,Yes,No,Yes,,English,"Good (B1, B2)",Or,German,"Good (B1, B2)",,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,OTHER,,,,,see additional documents,,2021-11-23 13:24:30,2022-02-01 11:58:16,2,"Possible required skills: Curious, highly motivated, good communication skills (in English), able to work well within a collaborative research environment.

Possible required qualifications: a background in biology, plant ecology or environmental sciences is an advantage.",end of first month,,OTHER,
DE-2022-1065-7,OPEN,FCFS,2022-03-15,,Leuphana University Lüneburg,Faculty of Sustainability / Institute of Ecology,Universitätsallee 1,,,21335,Lüneburg,,Germany,www.leuphana.de,"University Campus, Lüneburg",University,Tanja Michaela Müller,Hamburg,Bus,5,40,8,Yes,,,,suitable working clothes especially for field work,"The interns will do field work including marking plots and taking samples together with PhD students. They will prepare (including drying, sieving, milling etc.) these soil samples and analyse them for carbon and nitrogen.",8,8,2022-05-01,2022-06-30,Yes,No,Yes,,English,"Good (B1, B2)",Or,German,"Good (B1, B2)",,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,OTHER,,,,,see additional documents,,2021-11-23 13:27:04,2022-01-03 15:42:37,2,"Possible required skills: Curious, highly motivated, good communication skills (in English), able to work well within a collaborative research environment, interest in plant ecology and soil science, reliable.

Possible required qualifications: a background in biology, plant ecology or environmental sciences is an advantage.",end of first month,,OTHER,
DE-2022-1067-1,Open,FCFS,2022-03-15,,Jena University Hospital,Institute of Infectious Diseases and Infection Control,Am Klinikum 1,,,07747,Jena,,Germany,https://www.uniklinikum-jena.de/infektionsmedizin/Forschung/Modelling/Arbeitsgruppe.html,Jena,university institute,Rainer König,Berlin,Jena,5,40,8,Yes,,26.0101;26.0102,,,"scope, environment team

We are a bioinformatics lab. We are analyzing als sorts of omics data, mostly transcription profiles from patients or cell lines and study the host response to infection. For this, we mainly employ machine learning and are interested to find consistent patterns in these offen quite heterogenous datasets. Our emphasis is more to understand the biological/medical pathomechanisms, rather than improving the computational tools.

In the now ongoing projects, we develop pipelines to identify host dependency factors, mainly of SARS-CoV-2 in the host cell and to find targets and drugs against the according infections.

We work together with experimental partners who provide data and do the experimental validations. Besides this, we are in a project which aims to find a treatment rule for hydrocortisone for patients in septic shock and deal with mostly patient data. Both ways we are interacting with cooperation partners to improve our computational predictions. Besides this, we work within a small team in our group. 

The trainee should have a good background knowledge in biology, some programming skills would be good, but can also be learned with us from the scratch. Similarly, the student will learn how to apply machine learning to problems in functional genomics, i.e. also machine learning knowledge or skills are not necessary, but would be good to have.",8,12,2022-01-01,2022-12-31,Yes,No,No,,English,"Good (B1, B2)",And,German,"Good (B1, B2)",,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,"11-COMPUTER AND INFORMATION SCIENCES, 26-BIOLOGICAL AND BIOMEDICAL SCIENCES",,,2022-08-01,2022-08-31,see additional documents,,2022-02-03 14:27:10,2022-02-03 14:27:11,3,"Some programming skills would be good, e.g. in R, Perl or Phython, some knowledge about machine learning would be good, but is not necessary, a good biologigal background would be good.",end of first month,,"11-COMPUTER AND INFORMATION SCIENCES, 26-BIOLOGICAL AND BIOMEDICAL SCIENCES","26.0101-Biology/Biological Sciences, General., 26.0102-Biomedical Sciences, General."
DE-2022-1067-3,OPEN,FCFS,2022-03-15,,Jena University Hospital,Institute of Infectious Diseases and Infection Control,Am Klinikum 1,,,07747,Jena,,Germany,https://www.uniklinikum-jena.de/infektionsmedizin/Forschung/Modelling/Arbeitsgruppe.html,Jena,university institute,Rainer König,Berlin,Jena,5,40,8,Yes,,26.0101;26.0102,,,"scope, environment team

We are a bioinformatics lab. We are analyzing als sorts of omics data, mostly transcription profiles from patients or cell lines and study the host response to infection. For this, we mainly employ machine learning and are interested to find consistent patterns in these offen quite heterogenous datasets. Our emphasis is more to understand the biological/medical pathomechanisms, rather than improving the computational tools.

In the now ongoing projects, we develop pipelines to identify host dependency factors, mainly of SARS-CoV-2 in the host cell and to find targets and drugs against the according infections.

We work together with experimental partners who provide data and do the experimental validations. Besides this, we are in a project which aims to find a treatment rule for hydrocortisone for patients in septic shock and deal with mostly patient data. Both ways we are interacting with cooperation partners to improve our computational predictions. Besides this, we work within a small team in our group. 

The trainee should have a good background knowledge in biology, some programming skills would be good, but can also be learned with us from the scratch. Similarly, the student will learn how to apply machine learning to problems in functional genomics, i.e. also machine learning knowledge or skills are not necessary, but would be good to have.",8,12,2022-01-01,2022-12-31,Yes,No,No,,English,"Good (B1, B2)",And,German,"Good (B1, B2)",,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,"11-COMPUTER AND INFORMATION SCIENCES, 26-BIOLOGICAL AND BIOMEDICAL SCIENCES",,,2022-08-01,2022-08-31,see additional documents,,2022-02-03 14:29:16,2022-02-03 14:29:17,3,"Some programming skills would be good, e.g. in R, Perl or Phython, some knowledge about machine learning would be good, but is not necessary, a good biologigal background would be good.",end of first month,,"11-COMPUTER AND INFORMATION SCIENCES, 26-BIOLOGICAL AND BIOMEDICAL SCIENCES","26.0101-Biology/Biological Sciences, General., 26.0102-Biomedical Sciences, General."
DE-2022-1091-1,OPEN,FCFS,2022-03-15,,Merseburg University of Applied Sciences,,Eberhard-Leibnitz-Str. 2,,,06217,Merseburg,,Germany,https://www.hs-merseburg.de/,Merseburg,University,Gabi Meister,Leipzig/Halle,,400,40,8,Yes,14A,14.1201,,,Development and test of a mobile communication device with software defined radio platform bladeRF. Usage of software GNU Radio and/ or MathWorks MATLAB® & Simulink®.,8,8,2022-04-01,2022-07-31,Yes,No,No,,English,"Good (B1, B2)",And,German,Fair (A2),,,,EUR,861,Monthly,variable,IAESTE,400,Monthly,861,Monthly,,"14A-ENGINEERING, Other",2022-10-01,2023-01-31,No,,see additional documents,,2021-11-24 11:49:40,2021-11-24 13:24:54,2,"Knowledge in modern mobile communication systems (UMTS, LTE, WIFI) as well as basic skills in RF engineering and digital signal processing would be helpful.",end of month,Info will be handed in later,"14A-ENGINEERING, Other",14.1201-Engineering Physics/Applied Physics.
